1,0,225
2,0,197
3,0,209
4,0,215
5,0,436
6,0,273
7,0,466
8,0,455
9,0,212
10,0,226
11,0,251
12,0,248
13,0,459
14,0,255
15,0,458
16,-9,667
17,0,674
18,0,529
19,0,558
20,0,565
21,0,317
22,0,271
23,0,354
24,0,231
25,0,324
26,0,317
27,8,386
28,0,345
29,9,398
30,0,300
31,0,310
32,9,358
33,0,234
34,0,295
35,9,378
36,5,367
37,0,245
38,0,310
39,0,341
40,0,312
41,0,249
42,0,337
43,0,274
44,0,233
45,0,309
46,0,296
47,0,305
48,0,376
49,0,327
50,6,398
51,0,261
52,0,307
53,5,368
54,0,305
55,0,277
56,0,340
57,0,256
58,-9,352
59,0,315
60,0,280
61,0,326
62,0,333
63,0,351
64,0,292
65,8,303
66,0,339
67,0,247
68,0,372
69,5,334
70,0,319
71,0,115
72,5,103
73,0,119
74,0,169
75,0,127
76,0,95
77,0,166
78,0,135
79,0,141
80,0,116
81,8,121
82,0,160
83,9,117
84,0,178
85,0,148
86,0,174
87,0,137
88,0,133
89,9,198
90,0,164
91,0,124
92,0,128
93,0,129
94,0,158
95,0,150
96,0,165
97,0,136
98,0,142
99,0,181
100,0,116
