idUsuari, mitjana
1,-3.431892
2,2.666633
3,7.095625
4,2.658125
5,3.252637
6,-4.95798
7,4.521277
8,-2.41
9,-0.7944
10,4.567083
11,3.757714
12,0.478687
13,5.467111
14,4.304343
15,-0.6171
16,-0.2424
17,1.561
18,3.727475
19,1.579796
20,0.007692
21,-0.409074
22,0.997347
23,2.638472
24,0.831224
25,1.187568
26,4.255385
27,1.550345
28,-2.483472
29,2.412963
30,2.912609
31,1.4949
32,1.677037
33,1.378163
34,-0.159737
35,3.343163
36,1.146
37,4.820282
38,1.880588
39,3.0552
40,-0.542553
41,-0.5025
42,2.135102
43,3.802889
44,-0.649495
45,5.0856
46,0.251444
47,5.629589
48,-0.555795
49,-0.621408
50,0.751313
51,2.375859
52,2.103898
53,0.14175
54,-2.0837
55,1.064222
56,0.033208
57,0.783
58,0.168361
59,-4.681837
60,2.711311
61,4.848169
62,0.793814
63,2.693902
64,-1.928485
65,-1.228451
66,3.358033
67,-1.038056
68,3.28493
69,-3.053617
70,1.48619
71,1.166
72,-2.669118
73,-3.561414
74,6.350455
75,1.258144
76,-0.876809
77,0.722371
78,4.40037
79,1.658788
80,-0.029808
81,1.475946
82,-0.747692
83,-1.1076
84,1.24
85,4.558049
86,1.257465
87,4.479697
88,-0.121351
89,-1.948592
90,2.7851
91,0.123235
92,-0.059167
93,-1.56375
94,2.987681
95,4.9717
96,-1.645479
97,0.927857
98,0.577027
99,0.949592
100,-2.897297
101,3.951875
102,0.832368
103,-0.166269
104,-2.857162
105,-3.904783
106,2.022321
107,0.3053
108,-1.523231
109,2.759452
110,4.172828
111,-1.039861
112,4.699219
113,-1.950972
114,-0.153415
115,2.496032
116,-0.245102
117,1.578889
118,-0.454583
119,2.324848
120,1.264737
121,4.196829
122,3.182062
123,-1.6625
124,0.133918
125,-5.155135
126,-1.712254
127,-4.861389
128,3.034595
129,3.584545
130,0.645294
131,2.770306
132,2.537419
133,2.547113
134,-0.098689
135,3.149032
136,2.204545
137,3.609821
138,1.035313
139,-0.623425
140,0.094898
141,-0.610548
142,-2.190139
143,1.662889
144,0.348475
145,1.031698
146,4.521509
147,2.571348
148,-2.932041
149,3.397808
150,2.677471
151,1.931389
152,1.6008
153,-3.88403
154,3.4567
155,-0.005465
156,1.298028
157,-0.408095
158,-3.282154
159,1.7567
160,5.955122
161,0.173239
162,0.376842
163,0.806667
