idRestaurant, desviacioEstPoblacional
1,5.2414501024876206
2,5.469756978664679
3,5.460912945638953
4,5.64633131938604
5,5.4143575896934735
6,5.465280480211869
7,5.481116994799718
8,5.435982262458916
9,5.375661157275917
10,5.495689152830745
11,5.587957083397353
12,5.474725326515341
13,5.67170067055706
14,5.492810038413336
15,5.701837296394036
16,6.019339481575041
17,5.385694199991118
18,5.317595523937288
19,5.330944440555443
20,5.326916606674087
21,5.863486489860257
22,5.443195131382446
23,5.320623402279105
24,5.470881975372341
25,5.350579216875678
26,5.498609612880685
27,6.121810747737166
28,5.512000984671412
29,5.920932007243987
30,5.33709606107156
31,5.637841193376023
32,6.002743133621379
33,5.544991194335709
34,5.371141984673303
35,5.881919112331543
36,5.897827366725079
37,5.602474203914024
38,5.408820228115457
39,5.358123184848826
40,5.344574007219875
41,5.364342156278577
42,5.470908262451621
43,5.4489120265100475
44,5.816691252815064
45,5.353222455710042
46,5.383115522265831
47,5.388373901175882
48,5.46976421823458
49,5.674695518709269
50,5.991825223313762
51,5.47491104697516
52,5.353087857809763
53,5.656803436513417
54,5.596301841826821
55,5.3082303878935795
56,5.399813796894119
57,5.886714413564117
58,6.819820075378849
59,5.425824177741253
60,5.405490262475543
61,5.533673733171195
62,5.703664239718807
63,5.324832609192358
64,5.4713524117733305
65,5.49197449617043
66,5.6072650505268635
67,5.530257394667338
68,5.590511611912982
69,5.539665935268796
70,5.302877298067804
71,5.557082833149313
72,5.6491466825825585
73,5.310196900175416
74,5.753803176816299
75,5.42312291177359
76,5.557198169296229
77,5.303814607929226
78,5.391302830505584
79,5.367945162893683
80,5.314984543613898
81,5.411135349415036
82,5.304295139632885
83,5.453766738350423
84,5.30551500629687
85,5.303334819624874
86,5.319007284997764
87,5.425538449329951
88,5.446029002659994
89,5.9165244993203485
90,5.3124659378921075
91,5.431792214987983
92,5.315364172063414
93,5.510902646163537
94,5.309439703053723
95,5.305952944802718
96,5.3331650776937725
97,5.346469141055663
98,5.296526335250674
99,5.35116486427755
100,5.308723547912122
