idRestaurant, mitjana
1,0.90326
2,0.165138
3,0.19747
4,-1.415242
5,0.235663
6,1.328924
7,-0.637033
8,-0.997142
9,-0.621349
10,1.179981
11,1.727374
12,1.500925
13,-1.944488
14,1.324383
15,-2.115869
16,-3.102303
17,-1.288121
18,-0.906917
19,0.172994
20,-1.205118
21,2.106516
22,0.885222
23,0.171113
24,-1.735502
25,0.419303
26,1.208688
27,2.906317
28,1.395822
29,2.621639
30,-0.474485
31,1.955045
32,2.970933
33,-1.384348
34,0.922042
35,2.778056
36,2.917708
37,-1.412638
38,1.349044
39,1.097749
40,1.034448
41,-0.377665
42,1.740574
43,-0.832335
44,-2.00087
45,1.036574
46,1.272342
47,1.3397
48,1.773436
49,2.512776
50,3.361847
51,-0.815277
52,-0.201306
53,2.551732
54,2.406518
55,0.375408
56,1.682944
57,-1.9425
58,-3.704413
59,-0.521463
60,-0.408644
61,2.091339
62,2.674561
63,0.257121
64,-0.715444
65,1.993268
66,2.441696
67,-0.90561
68,2.410542
69,2.280039
70,0.525041
71,-0.978974
72,2.634309
73,0.970837
74,-1.553304
75,-0.452497
76,2.336824
77,0.64649
78,1.659804
79,-0.153021
80,1.024236
81,1.755482
82,0.623649
83,1.965154
84,0.526332
85,0.627161
86,0.271242
87,1.854438
88,1.961502
89,3.34626
90,0.363985
91,1.907909
92,1.126545
93,2.248119
94,1.0843
95,1.036699
96,1.372159
97,1.485958
98,0.866719
99,-0.032621
100,1.119172
