nota, probabilitat
-9.95,8.433554432655507E-4
-9.9,0.001136868198471827
-9.85,0.0013327249696953188
-9.81,0.0014480870595606162
-9.76,0.0014164884706010543
-9.71,0.001442911428610343
-9.66,0.001371269800193405
-9.61,0.001453535092139851
-9.56,0.0013452554446275588
-9.51,0.001304122798654336
-9.47,0.0012684381852603478
-9.42,0.0014769616322305608
-9.37,0.0012165456749431362
-9.32,0.0011845384835401315
-9.27,0.0011491262717751051
-9.22,0.0011306029610057067
-9.17,0.0010654989716838506
-9.13,0.0010234129200092617
-9.08,0.001020825104534125
-9.03,9.824164748505196E-4
-8.98,9.467318614565315E-4
-8.93,9.32566976750521E-4
-8.88,9.130902602797565E-4
-8.83,8.994701788316694E-4
-8.79,8.753626346685553E-4
-8.74,8.478500701434194E-4
-8.69,8.628321597363152E-4
-8.64,8.515274921344029E-4
-8.59,8.643303686956048E-4
-8.54,8.607891475191021E-4
-8.5,8.580651312294847E-4
-8.45,8.466242628130916E-4
-8.4,8.48258672586862E-4
-8.35,8.411762302338568E-4
-8.3,8.591547377453317E-4
-8.25,8.626959589218343E-4
-8.2,8.458070579262064E-4
-8.16,8.808106672477901E-4
-8.11,8.538429059805777E-4
-8.06,9.129540594652756E-4
-8.01,8.644665695100857E-4
-7.96,8.782228517726536E-4
-7.91,8.929325397365876E-4
-7.86,0.0011229757153947782
-7.82,9.215347107775705E-4
-7.77,9.031476008226529E-4
-7.72,9.076422277005217E-4
-7.67,9.686601925879516E-4
-7.62,9.549039103253838E-4
-7.57,9.645741681535256E-4
-7.52,9.776494463436891E-4
-7.48,9.909971261628145E-4
-7.43,0.0010003949823619944
-7.38,9.855490935835795E-4
-7.33,0.0010035276010950545
-7.28,0.0010029827978371311
-7.23,0.0010288609525884965
-7.18,0.0010358071941270208
-7.14,0.0010070688222715571
-7.09,0.0010582803285163645
-7.04,0.0010592337342177306
-6.99,0.0010422086324076217
-6.94,0.0010363519973849444
-6.89,0.0010625025537652716
-6.84,0.0010679505863445064
-6.8,0.0010757140327699159
-6.75,0.0010475204641723758
-6.7,0.0010720366107789324
